Theme,PrimaryCode,Count
Vocal Technique & Style,NON_METAL_TASTE,2
Vocal Technique & Style,ONLINE_LEARNING,2
Vocal Technique & Style,PERCEPTUAL_CLASS_SCREAMLIKE,2
Vocal Technique & Style,STAGE_VS_STUDIO,2
Vocal Technique & Style,EXTREME_VOCALS_DEFINITION,1
Vocal Technique & Style,GENRE_PREFERENCE,1
Vocal Technique & Style,INTELLIGIBILITY_IMPORTANT,1
Vocal Technique & Style,PERCEPTUAL_CLASS_GROWLLIKE,1
Vocal Technique & Style,PERCEPTUAL_CLASS_HYBRID,1
Vocal Technique & Style,VOCALIST_INFLUENCE,1
Women in Metal,GENDER_UNDERRREPRESENTATION,8
